,Time,Open,High,Low,Close,Volume
35040,2021-01-07 13:15:00,507.5048,508.26,507.3116,508.26,18107
35041,2021-01-07 13:20:00,508.255,508.27,507.8,507.91,20948
35042,2021-01-07 13:25:00,508.08,508.71,507.75,508.6,13484
35043,2021-01-07 13:30:00,508.545,508.545,507.54,507.69,13595
35044,2021-01-07 13:35:00,507.69,509.3699,507.5817,509.255,17381
35045,2021-01-07 13:40:00,509.14,509.72,508.835,509.72,18118
35046,2021-01-07 13:45:00,509.77,510.0,509.54,509.96,21895
35047,2021-01-07 13:50:00,509.87,510.1811,509.52,509.53,18159
35048,2021-01-07 13:55:00,509.6,509.903,509.58,509.83,13167
35049,2021-01-07 14:00:00,509.7,510.25,509.68,510.09,16237
35050,2021-01-07 14:05:00,510.13,511.205,509.91,511.145,33620
35051,2021-01-07 14:10:00,511.34,512.12,511.15,511.915,30042
35052,2021-01-07 14:15:00,511.9156,512.03,511.21,511.66,24236
35053,2021-01-07 14:20:00,511.56,511.8599,511.2,511.63,21069
35054,2021-01-07 14:25:00,511.64,511.65,510.74,510.855,18926
35055,2021-01-07 14:30:00,510.845,510.9,510.2962,510.5,14756
35056,2021-01-07 14:35:00,510.43,510.43,509.85,509.91,11283
35057,2021-01-07 14:40:00,510.06,510.12,509.66,509.8,8568
35058,2021-01-07 14:45:00,509.77,510.41,509.77,510.01,14908
35059,2021-01-07 14:50:00,509.885,510.63,509.7298,510.484,14887
35060,2021-01-07 14:55:00,510.35,510.445,509.69,509.69,14790
35061,2021-01-07 15:00:00,509.77,509.97,509.49,509.69,13992
35062,2021-01-07 15:05:00,509.85,511.175,509.815,511.03,22983
35063,2021-01-07 15:10:00,511.02,511.69,511.02,511.23,22994
35064,2021-01-07 15:15:00,511.24,511.24,510.225,510.44,17135
35065,2021-01-07 15:20:00,510.56,510.57,509.99,510.01,11375
35066,2021-01-07 15:25:00,509.85,510.56,509.8,510.46,25184
35067,2021-01-07 15:30:00,510.55,510.895,510.46,510.49,20571
35068,2021-01-07 15:35:00,510.49,510.705,510.0,510.0,23637
